ID,site_name,capacity_mw,turbine_count,unit_mw,manufacturer,model_string,rotor_diameter_m,hub_height_m,commissioning_year,confidence,source_url,note
PARQUE EOLICO BICENTENARIO S.A.,PARQUE EOLICO BICENTENARIO S.A.,101.0,28,3.6,Vestas,V117-3.45 (uprated 3.6),117,91,2019,confirmed,https://www.energias-renovables.com/eolica/santa-cruz-inauguran-el-parque-eolico-del-20190615,"Koluel Kaike, Santa Cruz; whole site 35x V117=126MW; RenovAr phase 100.8MW/28t"
P.EOLICO BICENTENARIO 2,P.EOLICO BICENTENARIO 2,101.0,7,3.6,Vestas,V117-3.45 (uprated 3.6),117,91,2019,secondary,https://www.rigel.com.ar/Proyectos/parque-eolico-del-bicentenario-i-y-ii/,"MATER phase ~25MW of same 35-turbine site; input 101 duplicated placeholder"
Parque Eólico POMONA I,Parque Eólico POMONA I,101.0,26,3.9,Nordex,Delta4000 N133/3900,133,115,2019,secondary,https://www.power-technology.com/data-insights/power-plant-profile-pomona-wind-farm-argentina/,"Genneia, Río Negro; 26x3.9=101.4 reconciles"
Parque Eólico POMONA II,Parque Eólico POMONA II,101.0,3,3.9,Nordex,Delta4000 N133/3900,133,115,2020,inferred,https://www.thewindpower.net/windfarm_en_28322_pomona-ii.php,"Same Pomona site; phase II real ~11.7MW/3t; input 101 duplicates Pomona-I figure (mismatch)"
P.EOLICO LOMA BLANCA 2,P.EOLICO LOMA BLANCA 2,100.0,16,3.2,Goldwind,GW140/3000 (uprated ~3.2),140,100,2023,secondary,https://www.thewindpower.net/windfarm_en_25231_loma-blanca-ii.php,"Goldwind/Powerchina, Trelew; ~51MW/16t, input 100 ~2x too high"
P.EOLICO LOMA BLANCA 3,P.EOLICO LOMA BLANCA 3,100.0,16,3.2,Goldwind,GW140/3000 (uprated ~3.2),140,100,2024,secondary,https://www.thewindpower.net/windfarm_en_30898_loma-blanca-iii.php,"~51.2MW/16t; input 100 too high"
P.EOLICO LOMA BLANCA 1,P.EOLICO LOMA BLANCA 1,100.0,16,3.2,Goldwind,GW140/3000 (uprated ~3.2),140,100,2022,secondary,https://www.typsa.com/proyectos/parques-eolicos-loma-blanca-i-ii-iii-vi/,"~51MW/16t; input 100 too high"
P.EOLICO LOMA BLANCA 6,P.EOLICO LOMA BLANCA 6,100.0,32,3.2,Goldwind,GW140/3400 (uprated ~3.2),140,100,2023,secondary,https://lomablanca6.com.ar/el-parque/,"32x GW140~102MW matches input; note distinct Loma Blanca IV = Nordex N100/2500 (not in list)"
P. E. VIENTOS NEUQUINOS I,P. E. VIENTOS NEUQUINOS I,100.0,29,3.4,Nordex-Acciona,AW125/3000 (uprated ~3.4),125,120,2020,secondary,https://www.energiaestrategica.com/aes-argentina-inauguro-el-parque-eolico-vientos-neuquinos/,"AES Argentina (not YPF Luz); Bajada Colorada Neuquén; 29x3.4=98.6"
PE. MIRAMAR,PE. MIRAMAR,100.0,29,3.4,Goldwind,GW140-3.4 (3S),140,110,2020,secondary,https://parquemiramar.com.ar/el-parque/,"General Alvarado BA; 29x3.4=98.6; model GW140 inferred from ~70m blade"
P.E. Corti,P.E. Corti,100.0,29,3.45,Vestas,V126-3.45,126,87,2018,confirmed,https://www.thewindpower.net/windfarm_en_24063_corti.php,"Genneia/Greenwind (Ing. Mario Cebreiro); 29x3.45=100.05 exact"
ARAUCO EOLICO 2,ARAUCO EOLICO 2,99.8,28,3.55,Siemens Gamesa,SG 3.4-132,132,90,2025,inferred,https://www.peaenergia.com/,"Arauco La Rioja cluster (SAPEM); best-guess = PEA III 2025 ampliación 28x3.55=99.4; code-to-phase mapping uncertain"
P.EOLICO V ARAUCO II RENOV 1,P.EOLICO V ARAUCO II RENOV 1,99.8,38,2.625,Goldwind,GW121/2625 (G114 class PMDD),121,90,2019,secondary,https://www.econojournal.com.ar/,"Arauco II RenovAr 1.0; 38x2.625=99.75; Goldwind PMDD"
PARQUE EOLICO ARAUCO II SAPEM,PARQUE EOLICO ARAUCO II SAPEM,99.8,38,2.625,Goldwind,GW121/2625 (G114 class PMDD),121,90,2019,inferred,https://www.energiaestrategica.com/,"Arauco II phase; same Goldwind family; code-to-phase mapping uncertain within shared -28.73,-66.74 site"
PARQUE EOLICO ARAUCO SAPEM,PARQUE EOLICO ARAUCO SAPEM,99.8,24,2.1,IMPSA Wind,IWP-83 Unipower 2.1,83,80,2012,inferred,https://reve.aeeolica.org/,"Original Arauco phases; direct-drive IMPSA IWP-83 2.1MW; legacy small stages; count approx"
ARAUCO EOLICO,ARAUCO EOLICO,99.8,24,2.1,IMPSA Wind,IWP-83 Unipower 2.1,83,80,2012,inferred,https://reve.aeeolica.org/,"Original Arauco (legacy IMPSA IWP-83); rotor 83m; code-to-phase mapping uncertain"
P.EOLICO ARAUCO II R1.5 ET3y4,P.EOLICO ARAUCO II R1.5 ET3y4,99.8,38,2.625,Goldwind,GW121/2625 (G114 class PMDD),121,90,2021,inferred,https://reve.aeeolica.org/,"Arauco RenovAr 1.5 stages ET3/ET4 ~100MW; same Goldwind family; mapping inferred"
Parque Eólico La Castellana II,Parque Eólico La Castellana II,99.0,26,3.9,Nordex,N131/3900 Delta,131,120,2019,inferred,https://www.energias-renovables.com/eolica/nordex-se-adjudica-un-proyecto-para-abastecer-20171002,"Genneia, same La Castellana site; ~26x N131/3900=101MW; exact count for phase II inferred"
MANANTIALES BEHR (YPF),MANANTIALES BEHR (YPF),99.0,30,3.3,Vestas,V117-3.3,117,84,2018,confirmed,https://novedades.ypf.com/YPF-LUZ-inauguro-el-parque-eolico-Manantiales-Behr.html,"YPF Luz, Comodoro Rivadavia; 30x3.3=99 exact"
P.E. La Castellana,P.E. La Castellana,99.0,32,3.15,Nordex-Acciona,AW125/3000 (uprated 3.15),125,90,2018,secondary,https://shima-energy.com/en/wind-farm-la-castellana/,"Genneia, Villarino; 32x3.15=100.8; some press loosely says N131 - AW125 is the built config"
PARQUE EÓLICO HÉRCULES,PARQUE EÓLICO HÉRCULES,97.0,27,3.6,Senvion,3.6M114 NES,114,93,2021,confirmed,https://www.evwind.com/2017/12/20/eolica-en-argentina-senvion-suministra-aerogeneradores-a-los-hercules/,"Vientos Los Hércules, Las Heras Santa Cruz (Total Eren); 27x3.6=97.2 exact"
P.EOLICO PAMPA ENERGIA,P.EOLICO PAMPA ENERGIA,94.5,21,4.5,Vestas,V150-4.5,150,105,2024,secondary,https://ri.pampa.com/en/renewable/pampa-energia-wind-farm-vi-pepe-vi/,"PEPE VI Stage I 21x4.5=94.5 exact; Bahía Blanca; all four Pampa codes share -38.66,-61.96 site"
Parque Eólico Pampa Energía 3 (ampliación 1),Parque Eólico Pampa Energía 3 (ampliación 1),94.5,25,3.8,Vestas,V136-3.8,136,112,2021,inferred,https://econojournal.com.ar/2024/09/pampa-energia-inauguro-un-nuevo-parque-eolico-en-bahia-blanca/,"PEPE III ampliación; earlier Pampa phases used V136-3.8 (rotor 136); model/count for this code inferred"
Parque Eólico Pampa Energía (MATER),Parque Eólico Pampa Energía (MATER),94.5,21,4.5,Vestas,V150-4.5,150,105,2023,inferred,https://ri.pampa.com/en/renewable/,"Pampa MATER phase; assumed V150-4.5 (Pampa's standard recent turbine); shares Bahía Blanca site"
P.E. Pampa Energía 6,P.E. Pampa Energía 6,94.5,21,4.5,Vestas,V150-4.5,150,105,2024,secondary,https://ri.pampa.com/en/renewable/pampa-energia-wind-farm-vi-pepe-vi/,"PEPE VI; full park 31x V150-4.5=139.5MW; this code = 94.5MW stage (21t)"
P.EOLICO LA GENOVEVA I REN2,P.EOLICO LA GENOVEVA I REN2,87.0,21,4.2,Vestas,V136-4.2,136,82,2020,confirmed,https://www.cprenovables.com.ar/en/operating-sites/,"Central Puerto; 21x4.2=88.2 (RenovAr2 awarded 87MW)"
P.EOLICO LA GENOVEVA II MATER,P.EOLICO LA GENOVEVA II MATER,87.0,11,3.8,Vestas,V126-3.8,126,87,2021,secondary,https://www.cprenovables.com.ar/en/operating-sites/,"Central Puerto MATER; built La Genoveva II is 11x3.8=41.8MW; input 87 duplicates Genoveva-I (mismatch)"
Parque eólico Chubut norte,Parque eólico Chubut norte,83.0,8,3.6,Vestas,V126-3.6,126,87,2018,secondary,https://www.genneia.com.ar/parqueinterior.php?parque=10,"Chubut Norte I = 8x V126~28.8MW; Genneia; input 83 only matches CN IV (mismatch)"
PE. CHUBUT NORTE II,PE. CHUBUT NORTE II,83.0,7,3.6,Vestas,V126-3.6 (inferred),126,87,2019,inferred,https://www.iprofesional.com/economia/283153,"CN II ~26MW; turbine model not cleanly documented; input 83 mismatched"
PE. CHUBUT NORTE III,PE. CHUBUT NORTE III,83.0,13,4.4,Nordex,Delta4000 N131/4400,131,110,2020,secondary,https://www.energiaestrategica.com/entra-en-operacion-el-parque-eolico-chubut-norte-iii-de-genneia-y-pae/,"Genneia+PAE; 13x4.4=57.7MW; rotor N131 inferred (could be N149)"
PE. CHUBUT NORTE IV,PE. CHUBUT NORTE IV,83.0,19,4.4,Nordex,Delta4000 N131/4400,131,110,2021,secondary,https://www.ambito.com/economia/chubut/comenzo-operar-el-parque-eolico-norte-iv-genneia-y-pae-n5167799,"19x4.4=83.6 matches input; rotor N131 inferred (verify vs N149)"
Parque eólico ALUAR I,Parque eólico ALUAR I,81.0,18,4.5,Vestas,V150-4.5,150,130,2023,inferred,https://www.energias-renovables.com/eolica/vestas-suministrara-18-maquinas-de-4-5-20220506,"Capacity 81 matches Aluar Etapa IV (18x V150-4.5=81MW); name says I but Aluar Etapa I is 14x V126-3.6/50.4MW - name/capacity conflict"
CP Achiras S.A.U.,CP Achiras S.A.U.,80.0,21,3.8,Vestas,V136-3.45 (3.8 MW mode),136,112,2019,secondary,https://reve.aeeolica.org/,"Central Puerto, Achiras Córdoba; 21x3.8=79.8; note a distinct 48MW Achiras/AW125 registration exists"
P.EOLICO LA ENERGETICA Renov2,P.EOLICO LA ENERGETICA Renov2,80.0,24,3.325,Nordex-Acciona,AW132/3300,132,90,2020,secondary,https://www.reporteminero.cl/noticia/noticias/2025/07/parque-eolico-energetica-tornquist-buenos-aires,"Energética I, García del Río/Tornquist; AES ordered 30x AW132/3300 (2018); phase I 24x3.325=79.8; hub inferred"
P.EOLICO LA ENERGETICA MATER,P.EOLICO LA ENERGETICA MATER,80.0,6,3.325,Nordex-Acciona,AW132/3300,132,90,2020,secondary,https://www.reporteminero.cl/noticia/noticias/2025/07/parque-eolico-energetica-tornquist-buenos-aires,"Phase II 6x AW132/3300 ~20MW of same 30-turbine 100MW site; input 80 duplicated placeholder"
P.EOLICO SAN LUIS NORTE,P.EOLICO SAN LUIS NORTE,76.5,17,4.5,Vestas,V150-4.5,150,125,2024,confirmed,https://semi-sa.com.ar/project/parque-eolico-san-luis-norte/,"PCR + Acindar/ArcelorMittal, Toro Negro San Luis; 17x4.5=76.5 (stage 1)"
P.EOLICO MANQUE MATER,P.EOLICO MANQUE MATER,57.0,15,3.8,Vestas,V136-3.8,136,112,2020,secondary,https://www.cprenovables.com.ar/en/operating-sites/,"Central Puerto (not PCR) MATER, near Achiras Córdoba; 15x3.8=57 exact"
EÓLICO VILLALONGA II GENNEIA,EÓLICO VILLALONGA II GENNEIA,52.0,1,3.45,Vestas,V126-3.45,126,87,2019,inferred,https://econojournal.com.ar/,"Genneia MATER expansion ~3.45MW (1 turbine) of the 16-turbine Villalonga site; input 52 is placeholder"
RAWSONI  ENARSA,RAWSONI  ENARSA,52.0,27,1.8,Vestas,V90-1.8 (V90/1800),90,80,2012,confirmed,https://www.thewindpower.net/windfarm_en_16169_rawson-i.php,"Rawson I = 27x1.8=48.6MW; ENARSA/Genneia; shares Rawson site with II/III; input 52 approx"
RAWSON 3 EOLICO,RAWSON 3 EOLICO,52.0,12,2.0,Vestas,V90-2.0,90,95,2017,secondary,https://www.miningpress.com/nota/277061,"Rawson III = 12x2.0=24MW; shares Rawson site; input 52 is placeholder (mismatch); hub inferred"
EÓLICO VILLALONGA GENNEIA,EÓLICO VILLALONGA GENNEIA,52.0,15,3.45,Vestas,V126-3.45,126,87,2018,secondary,https://www.thewindpower.net/windfarm_en_28320_villalonga.php,"Genneia Villalonga I ~15x V126=50.4MW (RenovAr1); 16-turbine site shared with Villalonga II"
RAWSONII ENARSA,RAWSONII ENARSA,52.0,16,1.8,Vestas,V90-1.8 (V90/1800),90,80,2012,confirmed,https://www.thewindpower.net/windfarm_en_16170_rawson-ii.php,"Rawson II = 16x1.8=28.8MW; shares Rawson site; input 52 is placeholder (mismatch)"
PE. VIENTOS DEL SECANO,PE. VIENTOS DEL SECANO,50.0,20,2.5,Envision,EN110/2.5,110,90,2020,confirmed,https://www.prnewswire.com/news-releases/envision-energy-pone-en-marcha-el-parque-eolico-vientos-del-secano-en-argentina-828102039.html,"Envision Energy, Villarino BA; 20x2.5=50 exact"
EOLICO MALASPINA I,EOLICO MALASPINA I,50.0,14,3.6,Senvion,3.6M114 NES,114,93,2020,confirmed,https://www.energiaestrategica.com/total-eren-pone-en-marcha-del-parque-eolico-malaspina-de-50-mw-en-argentina/,"Total Eren, Chubut; 14x3.6=50.4 (Senvion, same model as Hércules)"
P.EOLICO VIVORATA,P.EOLICO VIVORATA,49.5,11,4.5,Vestas,V150-4.5,150,130,2023,secondary,https://solaringenieria.com/parque-eolico-vivorata/,"PCR (not Genneia), Mar del Plata; 11x4.5=49.5 exact"
La Banderita,La Banderita,40.0,11,3.6,Vestas,V136-3.6,136,112,2019,secondary,https://www.ingener.com/en/casos/la-banderita-wind-farm-39-6-mw/,"PCR, General Acha La Pampa; 11x3.6=39.6; one source says V126-3.6 (rotor 126) - conflict on rotor"
NECOCHEA EOLICO,NECOCHEA EOLICO,38.0,11,3.415,Vestas,V136-3.45 (V136/3450),136,90,2020,secondary,https://www.genneia.com.ar/,"Genneia Vientos de Necochea; 11x3.415=37.6; likely SAME physical farm as P.EOLICO VIENTOS DE NECOCHEA (do not double-count)"
P.EOLICO VIENTOS DE NECOCHEA,P.EOLICO VIENTOS DE NECOCHEA,38.0,11,3.415,Vestas,V136-3.45 (V136/3450),136,90,2020,secondary,https://www.genneia.com.ar/,"Same 38MW Necochea/Punta Negra site as NECOCHEA EOLICO (RenovAr+MATER split of one 11-turbine farm)"
P.EOLICO MATACO 3 PICOS MATER,P.EOLICO MATACO 3 PICOS MATER,36.0,8,4.5,Vestas,V150-4.5,150,105,2023,secondary,https://www.bnamericas.com/en/project-profile/mataco-iii-wind-farm,"PCR Mataco III MATER phase of Luz de Tres Picos complex; 8x4.5=36 exact"
P.EOLICO DIADEMA 2,P.EOLICO DIADEMA 2,28.0,9,2.35,Enercon,E-82 E2,82,78,2018,secondary,https://www.ecured.cu/Parque_eólico_Diadema_(Argentina),"Hychico Diadema expansion = 9x E-82=21.15MW; shares Diadema site (total 27.45MW)"
DIADEMA EOLICO,DIADEMA EOLICO,28.0,7,0.9,Enercon,E-44,44,45,2011,confirmed,https://es.wikipedia.org/wiki/Parque_eólico_Diadema,"Hychico Diadema phase 1 = 7x E-44=6.3MW; input 28 = full-site nameplate (27.45MW incl E-82 expansion)"
Central Eólica KOSTEN,Central Eólica KOSTEN,24.0,7,3.4,Vestas,V136-3.45 (inferred),136,85,2021,inferred,https://argentinaeolica.org.ar/novedades/el-parque-eolico-kosten-sumara-24-mw-de-capacidad-instalada-1,"Grenergy, Pampa de Castillo Chubut; 7t/24MW confirmed; model undocumented (V136-3.45 inferred from 3.4MW/unit)"
P.E. Garayalde,P.E. Garayalde,24.0,7,3.45,Vestas,V136-3.45,136,85,2018,secondary,https://innovar-sustentabilidad.com/pan-american-energy-puso-en-marcha-el-parque-eolico-garayalde/,"PAE, near Camarones Chubut; 7x3.45=24.15; source cites 126m/63m-blade - possible V126 (rotor conflict)"
P.EOLICO LOS OLIVOS MATER,P.EOLICO LOS OLIVOS MATER,23.0,6,3.8,Vestas,V136-3.8,136,112,2020,secondary,https://www.cprenovables.com.ar/en/operating-sites/,"Central Puerto MATER, Achiras area San Luis; 6x3.8=22.8"
P.EOLICO GARCIA DEL RIO,P.EOLICO GARCIA DEL RIO,10.0,4,2.5,Envision,EN131/2.5 (model inferred),131,90,2019,inferred,https://www.noticiastornquist.com.ar/2019/11/27/quedo-inaugurado-el-parque-eolico-garcia-del-rio/,"Envision Energy, RN33 Tornquist; 4 turbines/10MW=2.5 each; rotor/model inferred from Envision 2.5MW series"
