ID,site_name,capacity_mw,turbine_count,unit_mw,manufacturer,model_string,rotor_diameter_m,hub_height_m,commissioning_year,confidence,source_url,note
406,PE VALLE DE LOS VIENTOS,99.0,45.0,2.2,Vestas,Vestas V100/2000 (uprated 2.2),100.0,80.0,2013,confirmed,https://www.power-technology.com/marketdata/valle-de-los-vientos-wind-farm-chile/,"Enel Green Power, Calama; 2.0MW uprated to 2.2 -> 45x2.2=99. 80m steel towers. Rotor 100."
238,PE TALINAY ORIENTE,94.5,45.0,2.1,Vestas,Vestas V90/V100 (2MW platform mix),100.0,,2013,secondary,https://en.wikipedia.org/wiki/Talinay_Wind_Farm,"Enel Green Power, Coquimbo; 45 turbines mix of V90 (90m) and V100 (100m) 2MW uprated to 2.1 -> 45x2.1=94.5. Rotor MIXED (90/100), listed 100."
342,PE RENAICO I,92.4,44.0,2.1,Vestas,Vestas V110/2000 (uprated 2.1),110.0,,2016,confirmed,https://www.thewindpower.net/windfarm_en_26814_renaico.php,"Enel Green Power, Araucania; 2.0MW uprated to 2.1 -> 44x2.1=92.4. Rotor 110."
1690,PE ALENA,90.7,18.0,5.04,Nordex,Nordex N149/4.0-4.5 (Delta4000),149.0,145.0,2021,secondary,https://www.power-technology.com/data-insights/power-plant-profile-alena-chile/,"Aela Energia/Mainstream, Bio Bio; 18x N149 nameplate 4.8=86.4 (4.7% low); reconciles if uprated ~5.04. Tower 145m. Rotor 149."
626,PE TOLPAN SUR,88.2,28.0,3.15,Acciona,Acciona AW132/3000 (uprated 3.15),132.0,,2020,confirmed,https://www.power-technology.com/marketdata/tolpan-sur-wind-farm-chile/,"Acciona Energia (not WPD), Araucania; 3.0MW uprated to 3.15 -> 28x3.15=88.2. Rotor 132."
2091,PE SAN MATIAS,87.5,,,AES Andes,,,,2024,unknown,https://www.aesandes.com/en/press-release/aes-andes-initiates-commercial-operation-san-matias-and-consolidates-its-wind,"AES Andes, Bio Bio; commercial op Jun 2024. Sources give 78MW or 25x4.3=107.5MW (planned); neither reconciles 87.5. Turbine model not disclosed on free sources."
531,PE PUNTA SIERRA,86.8,32.0,2.55,Goldwind,Goldwind GW121/2500,121.0,,2018,secondary,https://www.thewindpower.net/windfarm_en_16872_punta-sierra.php,"Pacific Hydro, Coquimbo; 32x GW121 at 2.55MW=81.6 (6.0% below 86.8) - does NOT reconcile. Rotor 121."
2144,PE PUNTA DE TALCA,86.7,14.0,5.9,Nordex,Nordex N155/5.X (Delta4000),155.0,,2023,secondary,https://renewablesnow.com/news/edpr-unveils-83-mw-punta-de-talca-wind-farm-in-chile-859492/,"EDP Renovaveis, Ovalle Coquimbo; 14x N155 at 5.9MW=82.6 (4.7% low); reconciles if uprated ~6.19. Rotor 155."
1845,PE CAMPO LINDO,76.8,17.0,4.5,Vestas,Vestas V150-4.5,150.0,116.5,2023,secondary,https://www.power-technology.com/data-insights/power-plant-profile-campo-lindo-wind-farm-chile/,"WPD, Los Angeles Bio Bio; 17x V150 at 4.5MW=76.5 ~ 76.8. Hub 116.5m. Rotor 150."
1758,PE MESAMAVIDA,70.6,14.0,5.04,Nordex,Nordex N149/4800 TS145,149.0,145.0,2022,secondary,https://www.thewindpower.net/windfarm_de_1551_mesamavida.php,"AES Andes, Mulchen Bio Bio; 14x N149/4800 nameplate 67.2 MW, input 70.6 implies uprate ~5.04; hub 145m (TS145 tower). Rotor 149."
366,PE SAN PEDRO II,69.0,13.0,5.0,Gamesa,Gamesa G128/5000,128.0,,2018,secondary,https://www.thewindpower.net/windfarm_en_23335_san-pedro-de-dalcahue-ii.php,"Chiloe island, now Engie; 13x G128-5.0=65 MW vs input 69 (uprate ~5.3). First G128-5.0 in Latin America. Rotor 128."
611,PE LA FLOR,34.0,9.0,3.45,Vestas,Vestas V136/3450,136.0,,2019,secondary,https://www.thewindpower.net/windfarm_en_1545_la-flor.php,thewindpower lists 9x V136/3.45=32.4 MW (Araucania); dataset 34.0 MW - minor capacity/region discrepancy. Rotor 136.
2042,PE MANANTIALES,31.0,5.0,5.5,Nordex,Nordex N163/5.X,163.0,,2022,secondary,https://www.thewindpower.net/windfarm_en_1548_manantiales-(cl).php,Statkraft Litueche O'Higgins (Torsa); 5x N163/5.X=27.5 MW vs 31 (uprated N163 ~6.2 reconciles). Rotor 163.
345,PE LOS BUENOS AIRES,25.2,12.0,2.0,Vestas,Vestas V110/2000,110.0,,2016,confirmed,https://www.thewindpower.net/windfarm_en_22617_los-buenos-aires.php,"Enel EGP, Los Angeles Biobio; 12x V110-2.0=24 MW vs 25.2. Rotor 110."
223,PE PUNTA COLORADA,21.0,10.0,2.0,DeWind,DeWind D8.2,80.0,80.0,2011,confirmed,https://www.thewindpower.net/windfarm_en_94_punta-colorada.php,"Barrick Gold, La Higuera Coquimbo; DeWind D8.2 (NOT Suzlon/GE); 10x2.0=20 MW vs 21.0. Rotor 80, hub 80."
118,PE CANELA,19.1,11.0,1.65,Vestas,Vestas V82/1650,82.0,,2007,confirmed,https://www.thewindpower.net/windfarm_en_4085_canela.php,"Canela I, first Chilean wind farm; 11x1.65=18.15 MW vs 19.1. Rotor 82."
360,PE LA ESPERANZA,11.3,5.0,2.1,Envision,Envision EN-2.1-110,110.0,,2019,secondary,https://www.thewindpower.net/windfarm_en_21966_la-esperanza.php,"Negrete Biobio (Envision, not Coquimbo as hinted); 5x 2.1-110=10.5 MW vs 11.3. Rotor 110."
281,PE UCUQUER II,11.3,5.0,2.1,Envision,Envision EN-2.1-110,110.0,,2015,secondary,https://www.thewindpower.net/windfarm_en_21835_ucuquer.php,"Ucuquer phase 2, Litueche O'Higgins; 5x Envision 2.1-110=10.5 MW vs 11.3 (task hint guessed Vestas but source shows Envision). Rotor 110."
19,PE LEBU,11.0,12.0,,Mixed,mixed fleet: Hewind HW50 + Bonus B44/600 + Vestas,,,2009,secondary,https://www.thewindpower.net/windfarm_en_15409_lebu.php,"Cristalerias Toro repowered heterogeneous fleet: 3x Hewind HW50 (50m,0.78MW) + 2x Bonus B44/600 (44m) + Vestas units; source total ~14.8 MW/12 turbines vs dataset 11.0. Rotor MIXED - low confidence."
594,PE EL MAITEN,10.5,3.0,3.6,GE,GE 3.6-137,137.0,110.0,2019,confirmed,https://www.thewindpower.net/windfarm_en_32371_el-maiten.php,"Arroyo Energy, Biobio; GE 3.6-137 (hub 110m); 3x3.6=10.8 MW vs 10.5. Rotor 137."
607,PMGD PE EL ARREBOL,9.4,3.0,3.4,Senvion,Senvion 3.4M140,140.0,,2018,confirmed,https://www.thewindpower.net/windfarm_en_1544_el-arrebol.php,"Lebu, Arauco, Biobio; 3x Senvion 3.4M140=10.2 MW vs 9.4 (grid-capped PMGD). Rotor 140."
621,PMGD PE EL NOGAL,9.4,3.0,3.6,GE,GE 3.6-137,137.0,110.0,2019,confirmed,https://www.thewindpower.net/windfarm_en_32370_el-nogal-(chile).php,"Arroyo Energy, Biobio; GE 3.6-137 (hub 110m); 3x3.6=10.8 MW vs 9.4 (grid-capped PMGD); same GE deal as El Maiten. Rotor 137."
295,PMGD PE UCUQUER,9.0,4.0,2.0,Vestas,Vestas V100/2000,100.0,,2014,secondary,https://www.thewindpower.net/windfarm_en_21835_ucuquer.php,"Ucuquer phase 1, Litueche O'Higgins; 4x Vestas V100-2.0=8.0 MW vs 9.0. Rotor 100."
289,PE TALINAY PONIENTE,63.6,32.0,,Vestas,V100/2000+V100/1800,100.0,,2015,secondary,thewindpower.net,mixed 17x2.0+15x1.8
83,PE CANELA II,63.0,40.0,1.5,Acciona,AW-77/1500,77.0,,2009,secondary,thewindpower.net,GEO lists Nordex AW-82
1800,PE LOMAS DE DUQUECO,61.7,14.0,4.2,Vestas,V150-4.2,150.0,,2022,secondary,thewindpower.net,
1682,PE LA ESTRELLA,52.4,11.0,4.5,Siemens Gamesa,SG 4.5-145,145.0,127.5,2021,confirmed,thewindpower.net,OPDEnergy
145,PE MONTE REDONDO,50.4,24.0,2.0,Vestas,V90/2000,90.0,,2010,confirmed,thewindpower.net,Engie
2161,PE LOS CERRILLOS,49.6,8.0,6.2,Nordex,N163/5.X,163.0,148.0,2024,secondary,thewindpower.net,"Statkraft, flexible platform"
170,PE TOTORAL,48.3,23.0,2.0,Vestas,V90/2000,90.0,,2010,confirmed,thewindpower.net,LAP
282,PE PUNTA PALMERAS,47.2,15.0,3.0,Acciona,AW-3000/116,116.0,92.0,2014,confirmed,thewindpower.net,Acciona
1667,PE NEGRETE,37.8,10.0,3.45,Vestas,V136/3450,136.0,120.0,2020,secondary,thewindpower.net,"wpd Negrete, count/cap mismatch"
268,PE SAN PEDRO,37.8,18.0,2.0,Gamesa,G90/2000,90.0,,2014,secondary,thewindpower.net,San Pedro de Dalcahue
2023,PE CARDONAL,37.2,6.0,5.0,Nordex,N163/5.X,163.0,,2024,inferred,thewindpower.net,"Statkraft, cap mismatch 30 vs 37 MW"
251,PE CUEL,34.6,22.0,1.5,Goldwind,GW87/1500,87.0,,2014,secondary,thewindpower.net,"Negrete-Cuel, Innergex"
