ID,site_name,region,capacity_mw,unit_count_gi,unit_mw_gi,manufacturer,model_string,rotor_diameter_m,turbine_count_src,unit_mw_src,confidence,source_url,note,p_density_wm2,flags,unit_mw_eff
CLEMGPWF,Clements Gap Wind Farm,SA1,56.7,27.0,2.1,Suzlon,,,27.0,2.1,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Wind_power_in_South_Australia,manufacturer only; '27 x 2.1 MW Suzlon wind turbines'; model not stated (2.1 MW Suzlon consistent with S88 but not stated),,,2.1
CLRKCWF1,Clarke Creek Wind Farm,QLD1,346.5,77.0,4.5,Goldwind,GW155-4.5,155.0,100.0,,manufacturer-confirmed,https://www.goldwind.com/en/australia/,,238.5,,4.5
CLRKCWF2,Clarke Creek Wind Farm,QLD1,103.5,23.0,4.5,Goldwind,GW155-4.5,155.0,100.0,,manufacturer-confirmed-propagated,https://www.goldwind.com/en/australia/ (same-project OEM order),,238.5,,4.5
CNUNDAWF,Canunda,SA1,46.0,23.0,2.0,Vestas,,80.0,23.0,2.0,secondary-source,https://en.wikipedia.org/wiki/Canunda_Wind_Farm,"model not stated; infobox: Vestas, rotor 80 m, hub 67 m (implies V80-2.0)",397.9,,2.0
COLWF01,Collector,NSW1,226.8,54.0,4.2,Vestas,V117-4.2 (hub height 91.5 m),117.0,54.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2019/vestas-solution-secures-227-mw-merchant-project-in-aust-c2963187,,390.6,,4.2
COOPGWF1,Coopers Gap Wind Farm,QLD1,452.9,123.0,3.83,GE,91x GE 3.6-137 + 32x GE 3.8-130,137.0,123.0,,manufacturer-confirmed,https://www.ge.com/news/press-releases/ge-and-agl-develop-australias-largest-wind-farm-coopers-gap-queensland,,259.8,,3.83
CROWLWF1,Crowlands Wind Farm,VIC1,80.0,39.0,2.05,Senvion,,,39.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/List_of_wind_farms_in_Australia,manufacturer only (turbine make column); model not stated anywhere on Wikipedia; count from List of wind farms in Victoria,,,2.05
CRURWF1,Crudine Ridge Wind Farm,NSW1,141.7,37.0,3.83,GE,GE 3.6-137,137.0,37.0,3.63,secondary-source,https://en.wikipedia.org/wiki/Crudine_Ridge_Wind_Farm,input unit_mw 3.83 vs Wikipedia 3.63 (37x3.63=134.3 vs AEMO capacity 141.7) - discrepancy,259.8,,3.83
CTHLWF1,Cattle Hill Wind Farm,TAS1,144.0,45.0,3.2,Goldwind,GW140-3S,140.0,48.0,3.0/3.2,secondary-source,https://en.wikipedia.org/wiki/Cattle_Hill_Wind_Farm,Wikipedia: 26 x 3.0 MW + 22 x 3.2 MW = 48 units vs AEMO 45 x 3.2,207.9,,3.2
CULLRGWF,Cullerin Range Wind Farm,NSW1,30.0,15.0,2.0,Senvion,MM82 / MM92,82.0,15.0,2.0/2.05,secondary-source,https://en.wikipedia.org/wiki/Cullerin_Range_Wind_Farm,mixed: 8 x MM82 (82 m) + 7 x MM92 (92 m); rotor given for majority type,378.7,,2.0
DULAWF1,Dulacca Wind Farm,QLD1,172.9,43.0,4.02,Vestas,V150,150.0,43.0,4.2,secondary-source,https://en.wikipedia.org/wiki/Dulacca_Wind_Farm,input unit_mw 4.02 vs Wikipedia 4.2 MW,227.5,,4.02
DUNDWF1,Dundonnell Wind Farm,VIC1,168.0,40.0,4.2,Vestas,V150-4.2,150.0,80.0,4.2,secondary-source,https://en.wikipedia.org/wiki/Dundonnell_Wind_Farm,count is whole farm (80); AEMO splits across DUNDWF1/2/3 as 40/11/29,237.7,,4.2
DUNDWF2,Dundonnell Wind Farm,VIC1,46.2,11.0,4.2,Vestas,V150-4.2,150.0,80.0,4.2,secondary-source,https://en.wikipedia.org/wiki/Dundonnell_Wind_Farm,count is whole farm (80); AEMO splits across DUNDWF1/2/3 as 40/11/29,237.7,,4.2
DUNDWF3,Dundonnell Wind Farm,VIC1,121.8,29.0,4.2,Vestas,V150-4.2,150.0,80.0,4.2,secondary-source,https://en.wikipedia.org/wiki/Dundonnell_Wind_Farm,count is whole farm (80); AEMO splits across DUNDWF1/2/3 as 40/11/29,237.7,,4.2
FLYCRKWF,Flyers Creek Wind Farm,NSW1,145.5,38.0,3.83,,,,,,default-fallback,,no public source found,,,3.83
FNWF1,Ferguson Wind Farm,VIC1,12.0,3.0,4.0,,,,,,default-fallback,,no public source found,,,4.0
GRANWF1,Granville Harbour Wind Farm,TAS1,111.6,31.0,3.6,Vestas,V126,126.0,31.0,3.6,secondary-source,https://en.wikipedia.org/wiki/Granville_Harbour_Wind_Farm,,288.7,,3.6
GULLRWF1,Gullen Range Wind Farm,NSW1,165.5,73.0,1.5,Goldwind,GW82-1.5 / GW100-2.5,100.0,73.0,1.5/2.5,secondary-source,https://en.wikipedia.org/wiki/Gullen_Range_Wind_Farm,mixed: 17 x GW82-1.5 (82 m) + 56 x GRW100-2.5 (100 m); rotor given for majority type; AEMO lists 73 units at 1.5 MW which matches count but not the mix,191.0,,1.5
GUNNING1,Gunning Wind Farm,NSW1,46.5,31.0,1.5,Acciona,,77.0,31.0,1.5,secondary-source,https://en.wikipedia.org/wiki/Gunning_Wind_Farm,turbine manufacturer not explicitly stated (inferred from owner/builder Acciona Energy); infobox states rotors 77 m and 82 m; consistent with AW-77/AW-82 1500,322.1,,1.5
HD1WF1,Hawkesdale Wind Farm,VIC1,96.6,23.0,4.2,,,,,,default-fallback,,no public source found,,,4.2
HDWF1,Hornsdale Wind Farm Stage 1,SA1,102.4,32.0,3.2,Siemens,,110.0,32.0,3.2,secondary-source,https://en.wikipedia.org/wiki/Hornsdale_Wind_Farm,model not stated; Siemens-commissioned 3.2 MW units; infobox rotor 110 m hub 92.5 m; stage counts 32/32/35 per Wind power in South Australia,336.7,,3.2
HDWF2,Hornsdale Wind Farm Stage 2,SA1,102.4,32.0,3.2,Siemens,,110.0,32.0,3.2,secondary-source,https://en.wikipedia.org/wiki/Hornsdale_Wind_Farm,model not stated; Siemens-commissioned 3.2 MW units; infobox rotor 110 m hub 92.5 m,336.7,,3.2
HDWF3,Hornsdale Wind Farm Stage 3,SA1,112.0,35.0,3.2,Siemens,,110.0,35.0,3.2,secondary-source,https://en.wikipedia.org/wiki/Hornsdale_Wind_Farm,model not stated; Siemens-commissioned 3.2 MW units; infobox rotor 110 m hub 92.5 m,336.7,,3.2
KiataWF1,Kiata Wind Farm,VIC1,31.0,9.0,3.45,Vestas,V126,126.0,9.0,,secondary-source,https://en.wikipedia.org/wiki/Kiata_Wind_Farm,unit rating not stated; AEMO 3.45 MW consistent with V126-3.45,276.7,,3.45
LGAPWF1,Lincoln Gap Wind Farm - stage 1,SA1,126.0,35.0,3.6,Senvion,3.6M140,140.0,35.0,3.6,secondary-source,https://en.wikipedia.org/wiki/Lincoln_Gap_Wind_Farm,infobox: Senvion 3.6M140 EBC,233.9,,3.6
LGAPWF2,Lincoln Gap Wind Farm - Stage 2,SA1,86.4,24.0,3.6,Vestas,V136,136.0,24.0,3.6,secondary-source,https://en.wikipedia.org/wiki/Lincoln_Gap_Wind_Farm,stage 2 = 24 x 3.6 MW Vestas V136,247.8,,3.6
MACARTH1,Macarthur Wind Farm,VIC1,420.0,140.0,3.0,Vestas,V112-3.0,112.0,140.0,,manufacturer-confirmed,https://www.agl.com.au/about-agl/operations/macarthur-wind-farm,,304.5,,3.0
MEWF1,Mount Emerald,QLD1,180.7,53.0,3.41,Vestas,V112-3.3 / V117-3.45,117.0,53.0,3.3/3.45,secondary-source,https://en.wikipedia.org/wiki/Mount_Emerald_Wind_Farm,mixed: 16 x V112-3.3 (112 m) + 37 x V117-3.45 (117 m); rotor given for majority type,317.2,,3.41
MLWF1,Mortons Lane Wind Farm,VIC1,19.5,13.0,1.5,,,,,,default-fallback,,no public source found,,,1.5
MRTLSWF1,Mortlake South Wind Farm,VIC1,157.5,35.0,4.5,,,,,,default-fallback,,no public source found,,,4.5
MUSSELR1,Musselroe Wind Farm,TAS1,168.0,56.0,3.0,Vestas,V90,90.0,56.0,3.0,secondary-source,https://en.wikipedia.org/wiki/Musselroe_Wind_Farm,,471.6,,3.0
MUWAWF1,Murra Warra Wind Farm - stage 1,VIC1,225.7,61.0,3.7,Senvion,3.7M144 (3.7 MW; 144 m rotor),144.0,61.0,,manufacturer-confirmed,https://www.siemensgamesa.com/global/en/home/press-releases/200521-siemens-gamesa-australia-service-contract-226-mw.html,,227.2,,3.7
OAKLAND1,Oaklands Hill Wind Farm,VIC1,67.2,32.0,2.1,Suzlon,,,32.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/List_of_wind_farms_in_Australia,manufacturer only (turbine make column); model not stated anywhere on Wikipedia; count 32 from List of wind farms in Victoria,,,2.1
RYANCWF1,Ryan Corner Wind Farm,VIC1,218.4,52.0,4.2,Vestas,V136-4.2,136.0,52.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2020/vestas-wins-328-mw-order-for-two-wind-projects-in-austr-c3244583,,289.1,,4.2
RYEPARK1,Rye Park Wind Farm,NSW1,396.0,66.0,6.0,Vestas,V162-6.2 EnVentus (6.0 MW operating mode),162.0,66.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2021/vestas-wins-396-mw-enventus-order-for-wind-project-in-a-c3407249,,291.1,,6.0
SALTCRK1,Salt Creek Wind Farm,VIC1,54.0,15.0,3.6,,,,,,default-fallback,,no public source found,,,3.6
SAPHWF1,Sapphire Wind Farm,NSW1,270.0,75.0,3.6,Vestas,V126-3.45 (Power Optimised Mode 3.6 MW),126.0,75.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2016/vestas-receives-270-mw-order-in-australia-c2963733,,288.7,,3.6
STARHLWF,Starfish Hill,SA1,33.0,22.0,1.5,NEG Micon,NM64C,64.0,22.0,1.5,secondary-source,https://en.wikipedia.org/wiki/Starfish_Hill_Wind_Farm,,466.3,,1.5
STOCKYD1,Stockyard Hill Wind Farm,VIC1,527.6,149.0,3.0,Goldwind,GW140-3.6 (GW 3S platform; 3.57 MW per secondary sources),140.0,149.0,,manufacturer-confirmed,https://www.goldwind.com/en/australia/,,194.9,,3.0
STWF1,Silverton Wind Farm,NSW1,198.9,58.0,3.43,GE,GE 3.4-130,130.0,58.0,3.43,secondary-source,https://en.wikipedia.org/wiki/Silverton_Wind_Farm,,258.4,,3.43
TARALGA1,Taralga Wind Farm,NSW1,106.8,51.0,3.0,Vestas,V90-2.0 / V100-1.8 / V90-3.0,90.0,51.0,2.0/1.8/3.0,secondary-source,https://en.wikipedia.org/wiki/Taralga_Wind_Farm,mixed: 21 x V90-2.0 + 21 x V100-1.8 + 9 x V90-3.0; input unit_mw 3.0 applies only to 9 units; rotor given for majority (V90),471.6,,3.0
TOORAWF,Toora,VIC1,21.0,12.0,1.75,Vestas,,,12.0,1.75,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Toora_Wind_Farm,manufacturer only; 12 x 1.75 MW completed by Vestas 2002; model not stated (1.75 MW Vestas of that era consistent with V66 but not stated),,,1.75
WATERLWF,Waterloo Wind Farm,SA1,130.8,43.0,3.3,Vestas,V90-3.0 / V117-3.3,90.0,43.0,3.0/3.3,secondary-source,https://en.wikipedia.org/wiki/Waterloo_Wind_Farm,"mixed: 37 x V90-3.0 (90 m) + 6 x V117-3.3 (117 m, 2016 extension); rotor given for majority type",518.7,,3.3
WAUBRAWF,Waubra,VIC1,192.0,128.0,1.5,Acciona,AW-77/1500,77.0,128.0,1.5,secondary-source,https://en.wikipedia.org/wiki/Waubra_Wind_Farm,,322.1,,1.5
WGWF1,Willogoleche Wind Farm,SA1,122.6,32.0,3.83,GE,,130.0,32.0,3.83/3.43,secondary-source,https://en.wikipedia.org/wiki/Willogoleche_Wind_Farm,"model not stated; infobox: General Electric, 24 x 3.83 MW + 8 x 3.43 MW, rotor 130 m hub 85 m (implies GE 3.8-130 / 3.4-130)",288.6,,3.83
WHILL1,Windy Hill,QLD1,12.0,20.0,0.6,Enercon,E40,44.0,20.0,0.6,secondary-source,https://en.wikipedia.org/wiki/Windy_Hill_Wind_Farm,infobox rotor 44 m (E40 family; 44 m matches E40/6.44 variant),394.6,,0.6
WONWP,Wonthaggi Wind Farm,VIC1,12.0,6.0,2.0,REpower,MM82,82.0,6.0,2.0,secondary-source,https://en.wikipedia.org/wiki/Wonthaggi_Wind_Farm,,378.7,,2.0
WOODLWN1,Woodlawn Wind Farm,NSW1,48.3,23.0,2.1,Suzlon,S88-2.1,88.0,23.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Woodlawn_Wind_Farm,,345.3,,2.1
WPWF,Wattle Point,SA1,90.8,55.0,1.65,Vestas,,82.0,55.0,1.65,secondary-source,https://en.wikipedia.org/wiki/Wattle_Point_Wind_Farm,model not stated; rotor 82 m hub 68 m from farm article; manufacturer Vestas from List of wind farms in Australia (implies V82-1.65),312.4,,1.65
WRWF1,White Rock Wind Farm - Stage 1,NSW1,175.0,70.0,2.5,Goldwind,GW121-2.5,121.0,70.0,2.5,secondary-source,https://en.wikipedia.org/wiki/White_Rock_Wind_Farm,article states 'Goldwind 121' 2.5 MW; rotor 121 m,217.4,,2.5
YSWF1,Yaloak South Wind Farm,VIC1,28.7,14.0,2.05,,,,,,default-fallback,,no public source found,,,2.05
MUWAWF2,Murra Warra Wind Farm - stage 2,VIC1,209.0,38.0,5.5,GE,GE Cypress 5.5-158,158.0,38.0,,manufacturer-confirmed,https://www.ge.com/news/press-releases/ge-renewable-energy-selected-to-supply-cypress-wind-turbines-for-murra-warra-ii-wind,,280.5,,5.5
BANGOWF1,Bango 973 Wind Farm,NSW1,159.0,30.0,5.3,GE,,,46.0,5.3,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Bango_Wind_Farm,manufacturer only; 46 x GE 5.3 MW turbines across whole farm (AEMO split 30/16); model designation and rotor not stated (tower height 120.9 m),,,5.3
BANGOWF2,Bango 999 Wind Farm,NSW1,84.8,16.0,5.3,GE,,,46.0,5.3,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Bango_Wind_Farm,manufacturer only; 46 x GE 5.3 MW turbines across whole farm (AEMO split 30/16); model designation and rotor not stated,,,5.3
LKBONNY1,Lake Bonney 1 Wind Farm,SA1,80.5,46.0,1.75,Vestas,,,46.0,1.75,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Wind_power_in_South_Australia,manufacturer only (Vestas per Lake Bonney Wind Farm article); stage 1 = 46 x 1.75 MW; model not stated,,,1.75
LKBONNY2,Lake Bonney 2 Wind Farm,SA1,159.0,53.0,3.0,Vestas,,,53.0,3.0,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Wind_power_in_South_Australia,manufacturer only (Vestas per Lake Bonney Wind Farm article); stage 2 = 53 x 3.0 MW; model not stated,,,3.0
LKBONNY3,Lake Bonney 3 Wind Farm,SA1,39.0,13.0,3.0,Vestas,,,13.0,3.0,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Wind_power_in_South_Australia,manufacturer only (Vestas per Lake Bonney Wind Farm article); stage 3 = 13 x 3.0 MW; model not stated,,,3.0
GSWF1A,Goyder South Wind Farm 1A,SA1,209.0,38.0,5.5,GE,GE Cypress 5.5-158,158.0,75.0,,manufacturer-confirmed,https://neoen.com/en/news/2022/neoen-gives-go-ahead-on-412-mw-wind-farm-first-stage-of-its-goyder-renewables-zone-in-south-australia/,,280.5,,5.5
GSWF1B1,Goyder South Wind Farm 1B,SA1,203.5,37.0,5.5,GE,GE Cypress 5.5-158,158.0,75.0,,manufacturer-confirmed,https://neoen.com/en/news/2022/neoen-gives-go-ahead-on-412-mw-wind-farm-first-stage-of-its-goyder-renewables-zone-in-south-australia/,,280.5,,5.5
MCINTYR1,MacIntyre Wind Farm,QLD1,923.4,162.0,5.7,Nordex,N163/5.X (5.7 MW operating mode),163.0,162.0,,manufacturer-confirmed,https://www.nordex-online.com/en/2021/07/nordex-se-nordex-group-receives-order-for-923-mw-in-australia-for-macintyre-wind-farm-from-acciona-energia/,,273.2,,5.7
GULLRWF2,Gullen Range Wind Farm 2,NSW1,110.7,31.0,3.57,Goldwind,GW82-1.5 / GW100-2.5,100.0,73.0,1.5/2.5,secondary-source,https://en.wikipedia.org/wiki/Gullen_Range_Wind_Farm,same physical farm as GULLRWF1; AEMO 31 x 3.57 MW does not match Wikipedia composition (17x1.5 + 56x2.5) - treat with caution,454.5,,3.57
PAREPW1,Port Augusta Renewable Energy Park - Wind,SA1,201.0,50.0,4.02,Vestas,V150-4.2,150.0,50.0,,secondary-source,https://www.power-technology.com/projects/port-augusta-renewable-energy-park-port-augusta-australia/,,227.5,,4.02
KEPWF1,Kennedy Energy Park - Phase 1 - Wind,QLD1,43.2,12.0,3.6,,,,,,default-fallback,,no public source found,,,3.6
KABANWF1,Kaban Wind Farm,QLD1,156.8,28.0,5.6,Vestas,,,,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/List_of_wind_farms_in_Australia,"manufacturer only (turbine make column, 157 MW Kaban row); model not stated anywhere on Wikipedia",,,5.6
SNOWTWN1,Snowtown Wind Farm,SA1,98.7,47.0,2.1,Suzlon,S88-2.1,88.0,47.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Snowtown_Wind_Farm,stage 1: article states 47 x S88_2.1MW + 1 x S95_2.1MW (95 m); AEMO 47 units matches the S88 count,345.3,,2.1
SNOWNTH1,Snowtown S2 Wind Farm,SA1,144.0,48.0,3.0,Siemens,SWT-3.0-108,108.0,48.0,3.0,secondary-source,https://en.wikipedia.org/wiki/Snowtown_Wind_Farm,stage 2 total: 80 x SWT-108-3.0 (108 m) + 10 x SWT-101-3.0 (101 m); allocation of the 10 smaller-rotor units between North (48) and South (42) not stated,327.5,,3.0
SNOWSTH1,Snowtown S2 Wind Farm,SA1,126.0,42.0,3.0,Siemens,SWT-3.0-108,108.0,42.0,3.0,secondary-source,https://en.wikipedia.org/wiki/Snowtown_Wind_Farm,stage 2 total: 80 x SWT-108-3.0 (108 m) + 10 x SWT-101-3.0 (101 m); allocation of the 10 smaller-rotor units between North (48) and South (42) not stated,327.5,,3.0
MERCER01,Mt Mercer Wind Farm,VIC1,131.2,64.0,2.05,Senvion,MM92,92.5,64.0,2.05,secondary-source,https://en.wikipedia.org/wiki/Mount_Mercer_Wind_Farm,article says REpower (=Senvion) MM92; infobox rotor '90M' but MM92 designation implies 92.5 m,305.1,,2.05
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,138.6,44.0,3.15,Acciona,,,44.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/List_of_wind_farms_in_Australia,manufacturer only (turbine make column); model not stated anywhere on Wikipedia; count 44 from List of wind farms in Victoria,,,3.15
MTMILLAR,Mt Millar Wind Farm,SA1,72.4,35.0,2.07,Enercon,E70,70.0,35.0,2.0,secondary-source,https://en.wikipedia.org/wiki/Mount_Millar_Wind_Farm,Wikipedia capacity 70 MW (35 x 2.0) vs AEMO 72.4 MW (unit 2.07),537.9,,2.07
GPWFEST1,Golden Plains Wind Farm East,VIC1,248.0,40.0,6.2,Vestas,V162-6.2 EnVentus,162.0,122.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2022/vestas-wins-756-mw-order-for-wind-project-in-australia-c3674699,,300.8,,6.2
GPWFEST2,Golden Plains Wind Farm East,VIC1,260.4,42.0,6.2,Vestas,V162-6.2 EnVentus,162.0,122.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2022/vestas-wins-756-mw-order-for-wind-project-in-australia-c3674699,,300.8,,6.2
GPWFEST3,Golden Plains Wind Farm East,VIC1,248.0,40.0,6.2,Vestas,V162-6.2 EnVentus,162.0,122.0,,manufacturer-confirmed,https://www.vestas.com/en/media/company-news/2022/vestas-wins-756-mw-order-for-wind-project-in-australia-c3674699,,300.8,,6.2
WAMBOWF1,Wambo Wind Farm,QLD1,252.0,1.0,252.0,Vestas,V162-6.0 (per Cubico; V162-6.2 platform per secondary sources),162.0,42.0,,manufacturer-confirmed,https://www.cubicoinvest.com/news/cubico-sustainable-investments-wambo-wind-farm-to-start-construction-in-2023/,,291.1,GI unit capacity is the whole farm (Unit Count=1 registration); unit_mw_eff derived as capacity/OEM count,6.0
CROOKWF2,Crookwell 2 Wind Farm,NSW1,96.0,28.0,3.43,,,,,,default-fallback,,no public source found,,,3.43
CROOKWF3,Crookwell 3 Wind Farm,NSW1,57.6,16.0,3.6,,,,,,default-fallback,,no public source found,,,3.6
ELAINWF1,Elaine Wind Farm,VIC1,83.6,22.0,3.8,Vestas,,,22.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Lal_Lal_Wind_Farm,"manufacturer only; Lal Lal Wind Farm = 22 turbines near Elaine + 38 near Yendon, construction by Vestas; model not stated",,,3.8
YENDWF1,Yendon Wind Farm,VIC1,144.4,38.0,3.8,Vestas,,,38.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Lal_Lal_Wind_Farm,"manufacturer only; Lal Lal Wind Farm = 22 turbines near Elaine + 38 near Yendon, construction by Vestas; model not stated",,,3.8
PORTWF,Portland Wind Farm,VIC1,151.7,74.0,2.05,,,,74.0,2.0/2.05,default-fallback,https://en.wikipedia.org/wiki/Portland_Wind_Farm,UNCERTAIN: stages 2-4 = 29 x 2.0 + 22 x 2.0 + 23 x 2.05 MW; manufacturer conflicting (farm article infobox: Vestas; List of wind farms in Australia: Senvion); model not stated,,,2.05
YAMBUKWF,Yambuk,VIC1,30.0,20.0,1.5,,,,20.0,1.5,default-fallback,https://en.wikipedia.org/wiki/Portland_Wind_Farm,UNCERTAIN: 20 x 1.5 MW turbines 105 m tall (Portland stage 1); manufacturer/model not stated in farm article; List of wind farms in Australia gives make Senvion for whole Portland project while farm article infobox says Vestas - conflicting,,,1.5
CODRNGTON,Codrington Wind Farm,VIC1,18.2,14.0,1.3,Bonus,B62/1300,62.0,14.0,1.3,secondary-source,https://en.wikipedia.org/wiki/Codrington_Wind_Farm,infobox 'AN Bonus: B62/1300'; designation implies 62 m rotor although infobox rotor field says 52 m - discrepancy,430.6,,1.3
WOOLNTH1,Woolnorth Studland Bay / Bluff Point,TAS1,138.0,61.0,1.75,Vestas,V66-1.75 / V90-3.0,66.0,62.0,1.75/3.0,secondary-source,https://en.wikipedia.org/wiki/Woolnorth_Wind_Farm,mixed: Bluff Point 37 x V66-1.75 (66 m) + Studland Bay 25 x V90-3.0 (90 m) = 62 units 139.75 MW; AEMO 61 units at 1.75 MW / 138 MW does not match the combined site exactly,511.5,,1.75
MOORAWF1,Moorabool Wind Farm,VIC1,312.0,104.0,3.0,Goldwind,GW136-3.0,136.0,104.0,,manufacturer-confirmed,https://www.goldwind.com/en/australia/,,206.5,,3.0
HALLWF1,Hallett Stage 1 Brown Hill,SA1,94.5,45.0,2.1,Suzlon,S88-2.1,88.0,45.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Hallett_Wind_Farm,Hallett group total 166 x S88 + 1 x S97; Hallett 1 = 45 x 2.1 MW per Wind power in South Australia,345.3,,2.1
HALLWF2,Hallett Stage 2 Hallett Hill,SA1,71.4,34.0,2.1,Suzlon,S88-2.1,88.0,34.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Hallett_Wind_Farm,Hallett 2 = 34 x 2.1 MW Suzlon per Wind power in South Australia,345.3,,2.1
NBHWF1,Hallett 4 North Brown Hill,SA1,132.3,63.0,2.1,Suzlon,S88-2.1,88.0,63.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Hallett_Wind_Farm,Hallett 4 = 63 turbines 132 MW per Wind power in South Australia; farm-wide make Suzlon S88,345.3,,2.1
BLUFF1,Hallett 5 The Bluff WF,SA1,52.5,25.0,2.1,Suzlon,S88-2.1,88.0,25.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Hallett_Wind_Farm,Hallett 5 = 25 x 2.1 MW Suzlon per Wind power in South Australia,345.3,,2.1
CHPSTWF1,Chepstowe Wind Farm - VIC,VIC1,6.2,3.0,2.05,,,,,,default-fallback,,no public source found,,,2.05
DIAPURWF1,Diapur Wind Farm,VIC1,8.0,2.0,4.0,,,,,,default-fallback,,no public source found,,,4.0
MAROOWF1,Maroona Wind Farm,VIC1,6.9,2.0,3.45,,,,,,default-fallback,,no public source found,,,3.45
TIMWEST,Timboon West Wind Farm,VIC1,7.2,2.0,3.6,,,,,,default-fallback,,no public source found,,,3.6
HEPWIND1,Leonards Hill,VIC1,4.1,2.0,2.05,REpower,,,2.0,2.05,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Hepburn_Wind_Project,manufacturer only; 2 x 2.05 MW turbines supplied by REpower Systems; model not stated (2.05 MW REpower consistent with MM82 but not stated),,,2.05
