Turbine identifier (GSRN),Date of original connection to grid,Capacity (kW),Rotor diameter (m),Hub height (m),Manufacture,Model,Local authority no,"Local authority
name",Type of location,Cadastral district,Cadastral no.,"X (east) coordinate
UTM 32 Euref89","Y (north) coordinate
UTM 32 Euref89",Origin of coordinates,Distribution company installation number
571313174000804817,12/18/14,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,648438.63,6204436.7,SDFE2018,
571313174001563744,11/11/15,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,,,Stamdata,
571313174001571824,12/11/15,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,646514.319999999,6205313.08,SDFE2018,
571313174001596582,3/16/16,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,655343.65,6189388.25999999,SDFE2018,
571313174001768668,9/26/18,10,9.3,20.3,KVA Vind,KVA Vind 10-10,306,Odsherred,Land,,,,,Stamdata,
570714700000000768,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3i,668977.91,6170339.83,SDFE2018,071-00492
570714700000000775,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3h,669052.51,6170343.70999999,SDFE2018,071-00492
570714700000000782,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3h,669128.329999999,6170346.2,SDFE2018,071-00492
570714700000000942,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653387.199999999,6179145.67999999,SDFE2018,60421157
570714700000000959,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653370.229999999,6179019.67999999,SDFE2018,60421157
570714700000000966,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653353.39,6178896,SDFE2018,60421158
570714700000003165,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1d,653525.16,6175997.88999999,SDFE2018,030-00446
570714700000003172,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1e,653526.89,6175888.03,SDFE2018,030-00447
570714700000003189,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1f,653529.26,6175777.73,SDFE2018,030-00447
570714700000003226,8/12/99,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bx,661108.069999999,6183057.5,SDFE2018,026-00688
570714700000003325,10/14/99,600,44,35,BONUS,600 - MK lll C,316,Holbæk,LAND,"Sandby By, Kundby",15d,658115.31,6179003.61,SDFE2018,040-00921
570714700000003332,10/14/99,600,44,35,BONUS,600 - MK lll C,316,Holbæk,LAND,"Sandby By, Kundby",15e,658262.76,6178883.07,SDFE2018,040-00921
570714700000003523,6/7/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bv,661100.91,6182857.33,SDFE2018,026-00689
570714700000003530,6/5/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1by,661593.089999999,6182639.91999999,SDFE2018,026-00693
570714700000003707,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674268.489999999,6185007.17999999,SDFE2018,86-6712
570714700000003714,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674311.17,6184927.54999999,SDFE2018,86-6712
570714700000003950,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674353.42,6184848.03,SDFE2018,86-6714
570714700000003967,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674394.699999999,6184768.66999999,SDFE2018,86-6714
570714700000003974,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674439.03,6184688.69,SDFE2018,86-6714
570714700000005091,12/6/90,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674225.839999999,6185087.04,SDFE2018,86-6710
570714700000005220,4/4/89,200,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Tingerup By, Soderup",4a,677491.479999999,6163417.78,SDFE2018,40028956
570714700000005237,4/4/89,200,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Tingerup By, Soderup",3f,677452.92,6163542.26999999,SDFE2018,40028956
570714700000005732,3/29/88,150,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Hørby By, Hørby",7c,669559.359999999,6181018.78,SDFE2018,40055645
570714700000005749,11/17/89,150,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Kastrup By, Hørby",3,667357.52,6184191.45,SDFE2018,40055693
570714700000005756,3/30/88,150,21.8,26,Ukendt,Ukendt,316,Holbæk,LAND,"Hørby By, Hørby",7a,669399.5,6180971.94,SDFE2018,40055767
570714700000013263,3/14/00,11,13,18.2,Ukendt,Ukendt,306,Odsherred,Land,,,660688.03,6195253.99,SDFE2018,
570714700000013324,10/13/00,550,37.3,35,Ukendt,Ukendt,306,Odsherred,LAND,"Lammefjorden, Hørve",22a,655729.479999999,6182928.25,SDFE2018,40065560
570714700000013331,10/13/00,550,37.3,35,Ukendt,Ukendt,306,Odsherred,LAND,"Lammefjorden, Hørve",22a,655834.729999999,6183029.87999999,SDFE2018,40065567
570714700000013348,10/30/00,550,37.3,35,Ukendt,Ukendt,306,Odsherred,LAND,"Lammefjorden, Hørve",36,655940.219999999,6183129.66999999,SDFE2018,40065576
570715000000083464,12/3/07,55,15.5,18,Windmatic,15 S,306,Odsherred,LAND,Asnæs By,17c,656649.569999999,6189509.19,SDFE2018,400073
571313174000786700,12/19/13,25,13,18,HSWind Aps,Viking 25,306,Odsherred,Land,,,664220.069999999,6193294.09999999,SDFE2018,
570714700000006258,4/30/93,150,24.6,32.5,NKT,150 XLR,316,Holbæk,LAND,"Ugerløse By, Ugerløse",5a,668333.14,6163177.44,SDFE2018,40108911
570714700000012525,9/21/99,600,44,35,BONUS,600 - MK lll C,316,Holbæk,LAND,"Sandby By, Kundby",15c,657967.699999999,6179119.76999999,SDFE2018,40032527
570714700000012570,10/18/99,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Sdr. Jernløse By, Sdr. Jernløse",8d,665922.689999999,6169792.33999999,SDFE2018,40039722
570714700000012631,11/22/99,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Sdr. Jernløse By, Sdr. Jernløse",8c,665921.04,6169923.98,SDFE2018,40039713
570714700000012648,11/29/99,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Sdr. Jernløse By, Sdr. Jernløse",8e,665924.88,6169658.67999999,SDFE2018,40039729
570714700000013034,5/11/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1s,661093.06,6182658.76999999,SDFE2018,40046865
570714700000013041,5/12/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bt,661606.4,6183040.48,SDFE2018,40046874
570714700000013058,5/12/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bu,661599.469999999,6182840.88999999,SDFE2018,40046883
570714700000013294,6/15/00,660,47,49.7,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",15c,654480.38,6170411.5,SDFE2018,40048133
570714700000013300,6/30/00,660,47,49.7,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",15g,654639.28,6170306.79999999,SDFE2018,40048142
570714700000013317,6/29/00,660,47,49.7,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",16k,654796.979999999,6170203.71999999,SDFE2018,40048151
570714700000013355,10/18/00,900,52,49,NEG Micon,NM 52/900,316,Holbæk,LAND,"Torbenfeldt Hgd., Frydendal",1a,658397.43,6169604.15,SDFE2018,40022035
570714700000013362,10/18/00,900,52,49,NEG Micon,NM 52/900,316,Holbæk,LAND,"Torbenfeldt Hgd., Frydendal",1a,658593.569999999,6169744.51999999,SDFE2018,40022042
570714700000013379,10/18/00,900,52,49,NEG Micon,NM 52/900,316,Holbæk,LAND,"Torbenfeldt Hgd., Frydendal",1a,658789.239999999,6169881.96999999,SDFE2018,40022051
570714700000013386,11/13/00,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Nr. Jernløse By, Nr. Jernløse",10a,665214.079999999,6171294.78,SDFE2018,40066701
570714700000013393,11/13/00,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Nr. Jernløse By, Nr. Jernløse",10a,665191.969999999,6171148.67999999,SDFE2018,40066710
570714700000013409,11/13/00,660,47,40,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,"Nr. Jernløse By, Nr. Jernløse",10a,665169.15,6171002.66,SDFE2018,40066720
570714700000014284,12/19/01,660,47,45,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,2c,676585.27,6164157.55999999,SDFE2018,40148070
570714700000014291,12/19/01,660,47,45,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,2a,676489.41,6163959.84999999,SDFE2018,40148077
570714700000014307,12/19/01,660,47,45,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,3d,676397.109999999,6163759.58,SDFE2018,40148081
570714700000014314,12/20/01,660,47,45,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,7b,675095.89,6164705.09999999,SDFE2018,40148085
570714700000014321,12/20/01,660,47,45,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,9a,675006.939999999,6164503.50999999,SDFE2018,40148088
570714700000014338,12/20/01,660,47,50,Vestas Wind Systems A/S,V 47-660,316,Holbæk,LAND,Bukkerup By,8a,674918.239999999,6164301.7,SDFE2018,40148091
570715000000084607,12/11/08,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Stigs Bjergby, Stigs Bjergby",23a,656877.729999999,6174734.73,SDFE2018,60461267
570715000000084652,12/11/08,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Stigs Bjergby, Stigs Bjergby",23a,657184.52,6174640.91999999,SDFE2018,60461264
570715000000125539,11/8/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Kundby",1e,658999.88,6182350.03,SDFE2018,60554392
570715000000125546,10/31/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Kundby",52d,659431.43,6182363.00999999,SDFE2018,60554397
570715000000125591,10/26/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Kundby",52a,659867.239999999,6182374.58,SDFE2018,60554399
570715000000125614,10/19/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Gislinge",15a,660302.68,6182387.12,SDFE2018,60554401
570715000000125621,10/12/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",12ai,660738.859999999,6182399.00999999,SDFE2018,60554406
570715000000125638,9/24/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",12h,662209.959999999,6183009.48,SDFE2018,60554408
570715000000125652,9/22/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",12h,662580.01,6183019.29,SDFE2018,60554410
570715000000125669,9/20/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",1aa,662949.9,6183029.25,SDFE2018,60554412
570715000000125683,10/3/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",12ag,662219.619999999,6182659.41,SDFE2018,60554414
570715000000125706,10/5/11,2300,93,80,SIEMENS,SWT 2.3-93,316,Holbæk,LAND,"Lammefjorden, Hagested",1ck,662589.479999999,6182669.45999999,SDFE2018,60554416
571313174000803322,10/29/14,10,7.1,18.5,Ukendt,Ukendt,316,Holbæk,Land,,,,,Stamdata,
571313174000809805,11/5/14,10,7.1,21.4,Ukendt,Ukendt,316,Holbæk,Land,,,,,Stamdata,
571313174000827052,3/1/15,10,7.1,21.5,Ukendt,Ukendt,316,Holbæk,Land,,,,,Stamdata,
571313174001564222,2/1/16,10,13,18.2,Gaia-Wind Ltd,Gaia Wind 133-10 kW,316,Holbæk,Land,,,674535.079999999,6175414.24,SDFE2018,
570714700000002786,6/1/98,600,44,45,Vestas Wind Systems A/S,V 44,320,Faxe,LAND,Uoplyst,22c,683343.709999999,6136725.92999999,SDFE2018,191111
570714700000003431,1/1/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Uoplyst,10f,708265.849999999,6129628.20999999,SDFE2018,SVV046
570714700000003448,1/1/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Uoplyst,1g,685730.949999999,6138527.74,SDFE2018,194326
570714700000003455,1/1/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Uoplyst,1f,685930.56,6138538.87999999,SDFE2018,194326
570714700000003462,1/1/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Uoplyst,3o,686131.42,6138548.94,SDFE2018,194326
570714700000006623,8/3/81,18.5,11,18,Ukendt,Ukendt,320,Faxe,Land,,,703099.589999999,6130910.74,SDFE2018,
570714700000008627,3/1/89,150,23,30,BONUS,150/30 kW,320,Faxe,LAND,Roholte,1a,698346.709999999,6120368.32,SDFE2018,171909
570714700000010903,11/17/97,600,44,35,BONUS,600 - MK lll,320,Faxe,LAND,"Jyderup By, Fakse",1a,695424.05,6125388.83,SDFE2018,190259
570714700000011252,4/28/98,600,44,45,Vestas Wind Systems A/S,V 44-600,320,Faxe,LAND,"Øde Førslev, Haslev By","22d,11b",683437.92,6136561.19,SDFE2018,191070
570714700000011269,4/28/98,600,44,40,Vestas Wind Systems A/S,V 44-600,320,Faxe,LAND,Øde Førslev,22b1,683247.89,6136890.15,SDFE2018,191069
570714700000011849,11/27/98,600,43,44.5,Ukendt,Ukendt,320,Faxe,LAND,"Teestrup By, Teestrup",13a,683532.25,6136396.55999999,SDFE2018,192152
570714700000011856,11/27/98,600,43,44.5,Ukendt,Ukendt,320,Faxe,LAND,"Teestrup By, Teestrup",14a,683627.479999999,6136231.61,SDFE2018,192153
570714700000011863,11/27/98,600,43,44.5,Ukendt,Ukendt,320,Faxe,LAND,"Teestrup By, Teestrup",12a,683721.54,6136067.15,SDFE2018,192154
570714700000012280,4/16/99,660,47,50,Vestas Wind Systems A/S,V 47-660,320,Faxe,LAND,"Skuderløse By, Teestrup",14a,683529.81,6133176.66999999,SDFE2018,192735
570714700000012297,4/16/99,660,47,50,Vestas Wind Systems A/S,V 47-660,320,Faxe,LAND,"Skuderløse By, Teestrup",13a,683790.05,6133129.84999999,SDFE2018,192736
570714700000012303,4/16/99,660,47,50,Vestas Wind Systems A/S,V 47-660,320,Faxe,LAND,"Skuderløse By, Teestrup",3,684046.729999999,6133084.08999999,SDFE2018,192742
570714700000012792,1/6/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,"St. Torøje, Smerup",10a,708365.66,6129466.38999999,SDFE2018,194324
570714700000012808,1/6/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,"St. Torøje, Smerup",10e,708465.219999999,6129304.21999999,SDFE2018,194323
570714700000012815,1/6/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,"St. Torøje, Smerup",11g,708564.829999999,6129142.58999999,SDFE2018,194322
570714700000013430,1/20/00,599,46,35,Norwin,N 46 - NH 35,320,Faxe,LAND,"Værløse, Fakse",7a,700250.569999999,6129444.69,SDFE2018,194362
570714700000013812,10/13/00,750,48,45,NEG Micon,NM 48/750,320,Faxe,LAND,"Olstrup By, Ulse",12a,692338.329999999,6130645.9,SDFE2018,195456
570714700000013829,10/13/00,750,48,45,NEG Micon,NM 48/750,320,Faxe,LAND,"Olstrup By, Ulse",12a,692170.359999999,6130736.83999999,SDFE2018,195455
570714700000013904,12/19/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,"St. Linde By, Hårlev",5a,703715.64,6135647.59999999,SDFE2018,195745
570714700000013911,12/19/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,"St. Linde By, Karise",5a,703657.869999999,6135448.98,SDFE2018,195746
570714700000013928,12/19/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Tryggevælde Hvg. Hårlev,1a,703857.189999999,6135391.50999999,SDFE2018,195748
570714700000014130,5/10/00,11,13,18.2,Ukendt,Ukendt,320,Faxe,Land,,,698826.42,6134593.08,SDFE2018,
570714700000014178,12/19/00,660,47,45,Vestas Wind Systems A/S,V 47,320,Faxe,LAND,Tryggevælde Hvg. Hårlev,1a,703913.839999999,6135590.58999999,SDFE2018,195750
570715000000115493,3/7/11,25,17,16,Vestas Wind Systems A/S,V 25,320,Faxe,Land,,,693218,6125010.74,SDFE2018,
570715000000137389,10/26/11,12,13,18,Ukendt,Ukendt,320,Faxe,Land,,,681788.9,6132066.19,SDFE2018,
571313174000650629,8/1/12,11,13,18.3,Ukendt,Ukendt,320,Faxe,Land,,,690782.17,6135836.36,SDFE2018,
571313174000805401,8/29/14,10,13,18.2,Ukendt,Ukendt,320,Faxe,Land,,,698070.8,6135418.38999999,SDFE2018,
571313174001608377,5/13/16,10,7.1,18,Ukendt,Ukendt,320,Faxe,Land,,,,,Stamdata,
571313174001641220,12/15/16,3450,117,91.5,Vestas Wind Systems A/S,V117-3.45 MW,320,Faxe,LAND,"Turebyholm Hgd., Tureby",1aa,696574,6138249,SDFE2018,61063008
571313174001641237,12/15/16,3450,117,91.5,Vestas Wind Systems A/S,V117-3.45 MW,320,Faxe,LAND,"Turebyholm Hgd., Tureby",1aa,696496,6138644,SDFE2018,61063009
571313174001641244,12/15/16,3450,117,91.5,Vestas Wind Systems A/S,V117-3.45 MW,320,Faxe,LAND,"Turebyholm Hgd., Tureby",1aa,696417,6139038,SDFE2018,61063010
571313174001641251,12/15/16,3300,117,91.5,Vestas Wind Systems A/S,V117-3.3 MW,320,Faxe,LAND,"Turebyholm Hgd., Tureby",2a,696339,6139432,SDFE2018,61063011
571313174001641268,12/21/16,3300,117,91.5,Vestas Wind Systems A/S,V117-3.3 MW,320,Faxe,LAND,"Turebyholm Hgd., Tureby",2a,696261,6139827,SDFE2018,61063012
571313174001764448,11/21/18,225,29,31.5,Vestas Wind Systems A/S,V 29-225,320,Faxe,LAND,"Jørslev By, Karise",1a,702483,6132921,Stamdata,
570714700000000683,9/25/91,200,27,30,NEG Micon,NM 570-200,326,Kalundborg,LAND,"Algestrup Hgd., Føllenslev",1a,645138.79,6178329.92999999,SDFE2018,019-01317
570714700000000690,9/25/91,200,27,30,Micon,M 570-200,326,Kalundborg,LAND,"Algestrup Hgd., Føllenslev",1a,645007.56,6178257.58999999,SDFE2018,019-01317
570714700000000706,9/25/91,200,27,30,Micon,M 570-200,326,Kalundborg,LAND,"Algestrup Hgd., Føllenslev",1a,645270.25,6178402.67999999,SDFE2018,019-01317
570714700000001079,1/23/96,600,41,35,BONUS,600 - MK l,326,Kalundborg,LAND,"Tjørnelunde By, Finderup",4a,647543.349999999,6153632.45,SDFE2018,60421127
570714700000001086,1/23/96,600,41,35,BONUS,600 - MK l,326,Kalundborg,LAND,"Tjørnelunde By, Finderup",4a,647547.709999999,6153523.16,SDFE2018,60421127
570714700000001093,1/23/96,600,41,35,BONUS,600 - MK l,326,Kalundborg,LAND,"Tjørnelunde By, Finderup",4a,647552.339999999,6153412.61,SDFE2018,60421127
570714700000003134,4/21/99,600,43,44.5,Ukendt,Ukendt,326,Kalundborg,LAND,"Særslev By, Særslev",13e,649549.18,6178558.59999999,SDFE2018,070-00757
570714700000003141,4/21/99,600,43,44.5,Ukendt,Ukendt,326,Kalundborg,LAND,"Særslev By, Særslev",13d,649560.68,6178423.65,SDFE2018,070-00758
570714700000003158,4/21/99,600,43,44.5,Ukendt,Ukendt,326,Kalundborg,LAND,"Særslev By, Særslev",13c,649572.56,6178289.46999999,SDFE2018,070-00758
570714700000003233,9/8/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Solbjerg By, Solbjerg",3g,648216.29,6148766.75,SDFE2018,061-00155
570714700000003240,9/8/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Solbjerg By, Solbjerg",3h,648358.339999999,6148814.54999999,SDFE2018,061-00156
570714700000003257,9/8/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Solbjerg By, Solbjerg",3i,648500.53,6148861.95,SDFE2018,061-00157
570714700000003264,9/9/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Kirke-Helsinge By, Kirke Helsinge",25az,640149.579999999,6153905.11,SDFE2018,039-02156
570714700000003271,9/9/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Kirke-Helsinge By, Kirke Helsinge",25ay,640002.65,6153894.66,SDFE2018,039-02157
570714700000003288,9/14/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Ulstrup By, Bakkendrup",16g,641997.339999999,6157908.83999999,SDFE2018,006-00151
570714700000003295,9/14/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Ulstrup By, Bakkendrup",16h,642147.459999999,6157910.33,SDFE2018,006-00152
570714700000003301,9/29/99,750,44,40,Micon,M 1500-750/175,326,Kalundborg,LAND,"Uglerup By, Buerup",5l,649835.449999999,6163001.2,SDFE2018,012-00424
570714700000003318,9/29/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Uglerup By, Buerup",5k,649738.17,6162900.17999999,SDFE2018,012-00425
570714700000003370,11/16/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Birkendegård Hgd., Værslev",1bm,639376.3,6171333.79,SDFE2018,088-00315
570714700000003387,11/16/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Birkendegård Hgd., Værslev",1bl,639297.719999999,6171227.88999999,SDFE2018,088-00316
570714700000003394,11/16/99,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Birkendegård Hgd., Værslev",1bi,639218.31,6171122.41999999,SDFE2018,088-00317
570714700000003400,12/21/99,1000,54,48,BONUS,1 MW,326,Kalundborg,LAND,"Birkendegård Hgd., Værslev",1bf,638084.199999999,6171351.58999999,SDFE2018,088-00319
570714700000003417,12/21/99,1000,54,48,BONUS,1 MW,326,Kalundborg,LAND,"Birkendegård Hgd., Værslev",1bg,638029.089999999,6171196.26999999,SDFE2018,088-00319
570714700000003479,1/26/00,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Svallerup By, Svallerup",12f,638633.699999999,6164082.48,SDFE2018,067-02464
570714700000003486,1/26/00,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Svallerup By, Svallerup",12g,638801.439999999,6164070.08,SDFE2018,067-02465
570714700000003493,1/26/00,750,44,40,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Ubby By, Ubby",21b,638969.369999999,6164057.98,SDFE2018,067-02466
570714700000005282,1/13/97,550,37,35,Ukendt,Ukendt,326,Kalundborg,LAND,"Egemarke Hgd., Føllenslev",3qx,648069.729999999,6180075.55999999,SDFE2018,40076289
570714700000005299,1/13/97,550,37,35,Ukendt,Ukendt,326,Kalundborg,LAND,"Egemarke Hgd., Føllenslev",3a,647928.64,6180222.66,SDFE2018,40076297
570714700000005305,1/13/97,550,37,35,Ukendt,Ukendt,326,Kalundborg,LAND,"Egemarke Hgd., Føllenslev",3qv,647793.77,6180376.29999999,SDFE2018,40076280
570714700000005343,5/27/97,600,44,40,NEG Micon,NM 1500-600,326,Kalundborg,LAND,"Kulby By, Finderup",8d,647925.469999999,6155310.16,SDFE2018,60145384
570714700000005367,5/27/97,600,44,40,NEG Micon,NM 1500-600,326,Kalundborg,LAND,"Kulby By, Finderup",8b,648072.189999999,6155031.87999999,SDFE2018,60145407
570714700000005374,5/27/97,600,44,40,NEG Micon,NM 1500-600,326,Kalundborg,LAND,"Kulby By, Finderup",8c,647997.65,6155170.87,SDFE2018,60145397
570714700000005435,1/21/98,600,43,44.5,Ukendt,Ukendt,326,Kalundborg,LAND,"Særslev By, Særslev",13a,649537.459999999,6178692.79999999,SDFE2018,40033742
570714700000005442,1/21/98,600,43,44.5,Ukendt,Ukendt,326,Kalundborg,LAND,"Særslev By, Særslev",13a,649584.239999999,6178156.95,SDFE2018,40033751
570714700000005473,4/3/98,750,44,46,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Kirke Helsinge By, Kirke Helsinge",22c,640327.199999999,6155360.9,SDFE2018,40026243
570714700000005480,4/24/98,750,44,46,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Rye By, Gørlev",12a,640532.3,6155310.66999999,SDFE2018,40042446
570714700000005497,4/3/98,750,44,46,NEG Micon,NM 1500-750/175,326,Kalundborg,LAND,"Rye By, Gørlev",12i,640735.869999999,6155261.19,SDFE2018,40042454
570714700000005817,7/6/99,150,22,31,NEG Micon,W 2800 150,326,Kalundborg,LAND,"Dalby By, Kirke Helsinge",3c,636192.28,6153813.26999999,SDFE2018,60066601
570714700000005947,9/5/83,75,15,18,Vestas Wind Systems A/S,V 55-16,326,Kalundborg,LAND,"Nyrup By, Raklev",8c,627519,6175920.75,SDFE2018,40182925
570714700000005961,5/5/86,55,15,18,Vestas Wind Systems A/S,V 55-16,326,Kalundborg,LAND,"Nyrup By, Raklev",8c,627695.979999999,6175984.37999999,SDFE2018,40172811
570714700000005978,2/3/06,75,15,18,Vestas Wind Systems A/S,V 55-16,326,Kalundborg,LAND,"Nyrup By, Raklev",7a,627801.31,6175642.38999999,SDFE2018,40182954
570714700000006067,1/8/88,150,24,30.2,Norwin,3 bladet stallreguleret,326,Kalundborg,LAND,"Svallerup By, Svallerup",18c,634855.5,6164520.00999999,SDFE2018,40015010
570714700000006074,1/8/88,225,27,30,Ukendt,Ukendt,326,Kalundborg,LAND,"Svallerup By, Svallerup",18c,634991.66,6164571.04,SDFE2018,40015010
570714700000006081,6/13/93,225,27,30,Vestas Wind Systems A/S,V 27-225,326,Kalundborg,LAND,"Bjerge By, Svallerup",19a,638243.239999999,6160456.29999999,SDFE2018,40015327
570714700000006401,3/23/88,18.5,10.8,18.6,Ukendt,Ukendt,326,Kalundborg,Land,,,630131.589999999,6198811.59999999,SDFE2018,
570714700000011191,3/13/98,11,11,18,Ukendt,Ukendt,326,Kalundborg,Land,,,642764.25,6156260.05999999,SDFE2018,
570714700000012532,9/25/99,750,48,50,NEG Micon,NM 48/750,326,Kalundborg,LAND,"Klovby By, Ubby",4a,639660.229999999,6168219.36,SDFE2018,40096690
570714700000012549,9/28/99,750,48,50,NEG Micon,NM 48/750,326,Kalundborg,LAND,"Klovby By, Ubby",4a,639635.89,6168418.37999999,SDFE2018,40096682
